Count,Description,Model Number,Serial Number,MAC ID,Location
,Raspberry Pi Sense Hat ,,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
5,Raspberry Pi Fan,,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,My Book Duo Hardrive 6TB,,WUBS284000629,,"Radio Room, Rack 1, Level 3"
,,,,,
,PLDT Home Wife Modem greenpacket,DH-725,DHNZJ201108848,001FFBF3C8CA,"Radio Room, Rack 0, Level 4"
,PLDT Home Wife Modem greenpacket,DH-725,DHNZJ195101019,001FFB5E43B1,"Radio Room, Rack 0, Level 4"
,PLDT Home Wife Modem greenpacket,DH-725,DHNZJ201107860,001FFBF3ADC6,"Radio Room, Rack 0, Level 4"
,PLDT Home Wife Modem greenpacket,DH-725,DHNZJ201101139,001FFB5F8A05,"Radio Room, Rack 0, Level 4"
,PLDT Home Wife Modem greenpacket,DH-725,DHNZJ201101183,001FFB5F8B39,"Radio Room, Rack 0, Level 4"
,Globe At Home Prepaid WIFI (w/ sim 09171680336) - with gomo sim 09763639031 (4221 5273 1400 6896),B310As-938,7CP7S18C17003418,864434035418504,San Antonio Parking 
,Globe At Home Prepaid WIFI,B310As-938,7CP7S18C17015391,864434035301171,"with Boss Pat, Lipa Batangas"
,Globe At Home Prepaid WIFI (no sim),B310As-938,7CP7518C20002566,864434035540034,"Radio Room, Rack 0, Level 4"
,Tenda 8 port full Gigabit Ehthernet switch,,210670220120034000,,"Radio Room, Rack 0, Level 4"
,Ubiquiti Rocket M2 2.4GHz Carrier Class airMAX Base Station,M2,,1307G DC9FDB58AABE,"Radio Room, Rack 0, Level 4"
,Ubiquiti Rocket M2 2.4GHz Carrier Class airMAX Base Station,M2,,1348G 24A43C90367A,"Radio Room, Rack 0, Level 4"
,Smart Lock Door Knob,,,,"Radio Room, Rack 0, Level 4"
,CD-R King Wireless-G Antenna 12dBi High Gain,,,,"Radio Room, Rack 0, Level 4"
,CD-R King Sata HDD Docking Station 12V-2A,PD-3507-U3,35070005,,"Radio Room, Wooden Cabinet top level"
,WAVLINK AC600 High Power Dual Band Outdoor Wi-Fi Range Extender,WL-WN570HA1 REV A1,WL201811140024,,"Radio Room, Wooden Cabinet top level"
,WAVLINK AC600 High Power Dual Band Outdoor Wi-Fi Range Extender,WL-WN570HA1 REV A1,WL201811140115,,"Radio Room, Wooden Cabinet top level"
,TP-Link Gigabit POE Injector,TL-POE 150S(UN) Ver 4.0,218C183007853,,"Radio Room, Rack 0, Level 4"
,Huawei Optical NetworkTerminal GPON Terminal,,485754438F03D79E,F41D6BFCB3B2,"Radio Room, Rack 0, Level 4"
,Ubiquiti Air Gateway LR airMAX 12-24VDC,AirGateway-LR,,1736G 788A206ED99C,"Radio Room, Rack 0, Level 4"
,Ubiquiti Air Gateway LR airMAX 12-24VDC,AirGateway-LR,,1736G 788A206ED91A,"Radio Room, Rack 0, Level 4"
,HD 1R Weatherproof Camera 12V,4A-SB1MW,C6I021680135,,"Radio Room, Wooden Cabinet top level"
,HD 1R Weatherproof Camera 12V,4A-SB1MW,C6I021680136,,"Radio Room, Wooden Cabinet top level"
,All Purpose Router 12W 5 Antennas Desktop Mobile Phone and GPS Jammer,,,,Scada Room Rack under the refrigerator last level
,Creston Battery Charger,CBR-125,,,"Radio Room, Rack 0, Level 4"
,Ubiquiti NanoStation locoM2 2.4GHz 8 dBi,LocoM2,,1810G 788A20EA3B5A,"Radio Room, Rack 0, Level 4"
,4G Antenna 791-2700MHz 35dBi,W435,,,"Radio Room, Rack 0, Level 4"
,wireless pan-tilt IP camera,CA435V1A,,,"Radio Room, Rack 0, Level 4"
,Linksys,WRT1900AC,13J10645432832,94103E012BAC,"Radio Room, Wooden Cabinet top level"
3,48V 2A Power Supply,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Waytronic GSM Socket,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,"Nespi Case for Raspberry Pi 3,2 and B+",,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Nes4Pi Case,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,Smart GSM Socket,,,,Streamtech Base San Jose Nueva Ecija (Enclosure Box Medium 2nd Floor)
,REC WiFi Restarter,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,Black zip locks - from FGEN,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,Thermal Camera / Scanner - from FGEN,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,Mobile 0968 296 2574,AC:23:3F:A5:7A:D9,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,Mobile 0999 369 9778,AC:23:3F:A5:7B:35,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,Mobile 0927 415 7106,AC:23:3F:A5:7A:DC,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,Mobile 0927 415 7100,AC:23:3F:A5:7A:DE,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,,AC233FA5E57C,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,,AC233FA5E56B,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,,AC233FA5E4D5,"Radio Room, Rack 0, Level 4 (Box 1)"
,Minew Black Proximity Band - from FGEN,,,AC233FA5E4E5,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Minew Black Proximity Band,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,Raspberry Pi 3 Model B+  (from FGEN),,,B8:27:EB:6D:2C:1C,"Radio Room, Rack 0, Level 4 (Box 1)"
5,Bluetooth Dongle,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
17,Vention Bluetooth USB to Bluetooth 4.0 Adapter,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Raspberry Pi 3 Model B+ w/ power supply,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
10,Bluetooth Dongle,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Adaptor 5V 3A,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
8,ugreen USB bluetooth adapter,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
4,5.0 usb dongle bluetooth,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,Silver Case for Raspberry Pi,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
5,Camera Case,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Raspberry Pi Hat Enclosure,CPIHAT-BLK,,,"Radio Room, Rack 0, Level 4 (Box 1)"
2,Raspberry Pi power supply,,,,"Radio Room, Rack 0, Level 4 (Box 1)"
,,,,,
,ASUS Wireless N Router,RT-N12,DBIADQ005296,BCEE7BF10094,"Radio Room, Rack 0, Level 5"
,Ubiquiti Air Fiber 8x8 MIMO Multiplexer,AF-MPx8,1605P001221,,"Radio Room, Rack 0, Level 5"
,Ubiquiti Air Fiber 8x8 MIMO Multiplexer,AF-MPx8,1605P001215,,"Radio Room, Rack 0, Level 5"
6,Dummy CCTV Camera with flashing LED,,,,"Radio Room, Rack 0, Level 5"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,,1741G 788A2023E479 - CY9Lfm,"Radio Room, Rack 0, Level 5"
,Unifi AC Mesh Pro AP,UAP-AC-M-PRO-US,,1719G 788A202306E2 - LVtNGH,"Radio Room, Rack 0, Level 5"
,Tenda AL1200 Smart Dual Band WiFi router,AC6,E7271011728000049,,"Radio Room, Rack 0, Level 5"
,Xiaomi Router 3 Wireless Dual Band Gigabit 12V 1A,MIR3,,7811DC54D4EB,"Radio Room, Wooden Cabinet top Level"
,Xiaomi Router 3 Wireless Dual Band Gigabit 12V 1A,MIR3,,50642B63FFAF,"Radio Room, Rack 0, Level 5"
,ASUS AC2400 4x4 Dual Band Gigabit Router,RT-AC87U,EAIGGS001992,AC9E174579F8,"Radio Room, Wooden Cabinet top Level"
,Router - Military Type Portable Jammer (switch local network),IMEI: 864881022189110,FB217010502,54D084022046,"Radio Room, Wooden Cabinet top Level"
,Huawei LTE 4G CPE 12V 1A,B315s-608,PHB7515416000011,867059020003107,"Radio Room, Rack 0, Level 5"
6,CCTV Dummy Camera,,,,"Radio Room, Wooden Cabinet top Level"
,Kenwood Communications,,730328,,"Radio Room, Rack 0, Level 5"
,Motorola,AAM256HC9AA1AN,103TGYB483,,"Radio Room, Rack 0, Level 5"
,Radio,UV-10R,21UV10R12223,,"Radio Room, Rack 0, Level 5"
,Radio,UV-10R,21UV10R08275,,"Radio Room, Rack 0, Level 5"
,Ubiquiti air Fiber 5GHz 23dBi Slant 45,,AF5A29849,,"Radio Room, Rack 0, Level 5"
,Ruijie 1300M Dual Band Gigabit Wireless Router,RG-EW1200GPRO,G1QP81A004274,,"Radio Room, Rack 0, Level 5"
,Panel Antenna 2.4GHz,,,,"Radio Room, Rack 0, Level 5 (Hang)"
,,,,,
,LoRa Gateway 915Mhz 8 Channel GW,,,,"Radio Room, Rack 1, Level 1"
,LoRA Gateway 433Mhz ,,,,"Radio Room, Rack 1, Level 1"
,Ubiquiti EdgeRouter PoE 24V-2.5A,ERPoe-5,,1351K24A43CB3A44F,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ubiquiti EdgeRouter PoE 24V-2.5A,ERPoe-5,,1351K24A43CB39411,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ubiquiti EdgeRouter PoE 24V-2.5A,ERPoe-5,,1337K24A43C058831,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ubiquiti EdgeRouter PoE 24V-2.5A,ERPoe-5,,1638KF09FC2057432,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ubiquiti EdgeRouter PoE 24V-2.5A,ERPoe-5,,1638KF09FC2057096,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ubiquiti EdgeRouter X SFP,ER-X-SFP,,1634G 802AA8DD080A,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ubiquiti EdgeRouter X 12V-.5A,ER-X,DEFECTIVE,1717G F09FC26D970E,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
3,AC/DC Adapter 5V 3A (inside zip lock),XHY-168,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,AC/DC Adapter 5V 3A (inside zip lock),XBS-0530,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Adaptrum 35V-57V 32W,ACRS2.0,A2FJ1360,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Adaptrum 35V-57V 32W,ACRS2.0,A2FJ1362,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Cisco Meraki MS220-8P,MS220-8P-HW,Q2HP-PADU-LND7,0C8DDB7FAE43,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Cisco Meraki MS220-8P,MS220-8P-HW,Q2HP-GNCW-HD78,E0553DD26157,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Linksys WAP300N Dual-Band Wireless Access Point,,12X10P04503331,C0562789BF76,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Access Controller Power (Input: AC220V 50Hz ; Output: DC12V3A  DC12V5A) - Box type,,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Power Injector (inside zip lock),POE-48i,15C050673DRC04,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Power Injector (inside zip lock),POE-48i,167015265DRC04,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Power Injector (inside zip lock),POE-48i,15C050696DRC04,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,POE Extender IEEE802.3at,POE-RP 101G,20170900137,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,POE Extender IEEE802.3at,POE-RP 101G,20170900140,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,POE Extender IEEE802.3at,POE-RP 101G,20180500071,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Asus RT-N12HP Wireless-N High Power Router,RT-N12HP,GCISNF005925,2C4D54091B98,"Radio Room, Wooden Cabinet top level"
,Mikrotik Routerboard,wAP AC,824E08C20C4E/804/US,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Mikrotik Routerboard ,wAP 60G AP,8B9408246215 / 752,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Mikrotik Routerboard ,wAP 60G AP,8B9408901CF7 / 752,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Ionics Plug Computing,Cumulus,NCUA33300136,0026DB005218,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Omada TP-Link 300Mbps Wireless-N Outdoor Access Point,EAP110-Outdoor (US)Ver3.0,2184228000459,AC84C67FFD21,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Mikrotik Routerboard,hAP series,5D4505117ED5/530,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Intense PC Pro 8gb Linux for Parallel Wireless w/ 000012 sim cards,,1180609-00802,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,TrendNet Gigabit POE+ Repeater/Amplifier 24V-48V,,BW1739E100224,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,TrendNet Gigabit POE+ Repeater/Amplifier 24V-48V,,BW1739E100228,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,TrendNet Gigabit POE+ Repeater/Amplifier 24V-48V,,BW1739E100230,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Adapter Power Voltage Regulated,JDT-001,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,4G router,WE1026-5G,,78A3513B0AD0,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Buffalo Wireless-N Router and Access Point,WCR-G300,14069624807320,106F3F8B3F24,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Texas WS-POESG-8-7 8 port Gigabit PoE Switch (inside zip lock),,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Texas Gigabit PoE 6 port WS-GPOE-6 (inside zip lock),,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,ILEPO Ecoplus 412P Uninterruptible Power System/Supply (inside zip lock),,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,ILEPO Ecoplus 412P Uninterruptible Power System/Supply (inside zip lock),,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,ILEPO Ecoplus 412P Uninterruptible Power System/Supply (inside zip lock),,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,TalentCell 12V Power Bank,YB12011000-USB,20191100107049,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Accelerator 4TB Hard Drive,GFSC100,SSAFN5160900103,F4F5E8015185,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,J-TECH Digital advanced 1x2 HDMI splitter,JTD0102/4K,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,switching adapter 5V 6000mA w/ GPS Antenna frequency: 1575.42 MHz,FJ-SW0506000,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,Intel NUC ,NUC7i3BNH,,94C69116180F,w/ Jason
4,Smart Plug for reboot,,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
2,N type Male to SMA Male 2 Meters Antenna Coaxial RG58 Cable Connector,,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 1)"
,NOCO 12V Plug 2-Way Splitter,GC020,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,TT TV Box Android Player,MXQ DC .5V/2A,,0861512227F6,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Vonets VAR11N - 300 WiFi Router & Bridge,,0017131E89B8,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Novatech B808d Li-on/Li-poly Battery Charger DC 9V-15V,,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
10,Bicycle/Electric Tricycle/New Energy Car Vibration & Displacement Alarm,KS-SF22R,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
4,Light Detector,,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,DC Digital Multi-Function Meter ,PZEM-051,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,AC Digital Multi-Function Meter (inside zip lock),PZEM-061,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,AC Digital Multi-Function Meter (inside zip lock),PZEM-061,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,10 Pack CAT 7 FTP Connector,CL0206,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Ubiquiti Air Gateway LR airMAX 12-24VDC (inside zip lock),AirGateway-LR,,1741G 788A20A003BB,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh AT POE 802.3 AT/AF Gigabit Single Po+PoE Adapter (inside zip lock),ATPOE,178253337,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh AT POE 802.3 AT/AF Gigabit Single Po+PoE Adapter (inside zip lock),ATPOE,178252763,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh Universal 802.11ac Access Point,A40,176229908,AC8674A99280,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh Universal 802.11ac Access Point,A40,174240963,AC86749CDB40,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh Universal 802.11ac Access Point,A40,176229968,AC8674A99A20,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh Universal 802.11ac Access Point,A40,176229907,AC8674A99260,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
19,OM Series Outdoor Enclosure ,,,,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh WiFi Mini Router with Label bagets,OM5P-AC,OM5PAC61907791,AC867469B5C0,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh WiFi Mini Router with Label cloudtrax mykapits,OM2P-HSv4,175206677,AC8674A03D08,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh WiFi Mini Router with Label cloudtrax onin,OM2P-HSv4,175206679,AC8674A03D18,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,Open Mesh WiFi Mini Router with Label cloudtrax onin,OM2P-HSv4,16B253169,AC86748537F0,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router,GL-AR300M,12a4d470eee40c9d,E4956E411B26,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router,GL-AR300M16,5e27812322f1e205,E4956E438757,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router w/ 192.168.8.1 ; n0cer$Goodlife!,GL-AR300M-ext,988ce2e67285cc33,E4956E4489F4,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router,GL-AR300M-ext,26d57831521c331e,E4956E4489A0,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router,GL-AR300M-ext,,E4956E448A82,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router,GL-AR300M-ext,c954938d1b4ee53f,E4956E448935,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router w/ huawei mobile broadband lte usb stick E3372,GL-AR300M,6a0463665254144d,E4956E423845,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 300M Mini Smart Router,GL-AR300M16,5cd3c3d6f4230430,E4956E438852,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 150M Mini Smart Router,GL-AR150,bd9119d51b36ed46,E4956E415182,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 150M Mini Smart Router - Globe 1 (box only inside zip lock),GL-AR150,8f3db6605d293c31,E4956E4AAF42,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 150M Mini Smart Router - Globe 2 (box only inside zip lock),GL-AR150,3ec36a2f8d1dbdb3,E4956E44ADFE,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,GL.iNet 150M Mini Smart Router - Globe 3 (box only inside zip lock),GL-AR150,e611d2f7606a910e,E4956E44AE6E,"Radio Room, Rack 1, Level 1 (inside Orocan box 2)"
,,,,,
,Ubiquiti Unifi Directional Dual-band Antenna for UAP-AC-M,UMA-D,UM5B12676,,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi Directional Dual-band Antenna for UAP-AC-M,UMA-D,UM5B03890,,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi Directional Dual-band Antenna for UAP-AC-M,UMA-D,UM5B03978,,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi Directional Dual-band Antenna for UAP-AC-M,UMA-D,UM5B03973,,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP LR 802.11n Long-Range Access Point,UAP-LR,,1825K FCECDACE5C2C - IE281G,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP LR 802.11n Long-Range Access Point,UAP-LR,CK1804167497,1814K FCECDA96C7AB - 3J7Rtf,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP LR 802.11n Long-Range Access Point,UAP-LR,CK1804167497,1814K FCECDA96C705 - 9jwHQC,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP LR 802.11n Long-Range Access Point,UAP-LR,CK1804167497,1814K FCECDA96C71A - oHWtZz,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C93518 - atGS43,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C9353E - 0RC8ne,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C93935 - QQ6Mf3,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C9426B - F5vx7t,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C9353D - RYCHmn,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C93809 - vruQZN,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C9308D - 5KDH8Q,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C6E740 - UkTbGd,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C93F16 - jgLmQB,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC LR 802.11ac Dual-Radio Long Range Access Point,UAP-AC-LR,,1911G 18E829C93C92 - wzmMN3,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC Lite 802.11ac Dual-Radio Access Point,UAP-AC-LITE,,1848K 18E82963306C - NL67cj,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi AP AC Lite 802.11ac Dual-Radio Access Point,UAP-AC-LITE,,1848K 18E8296324A2 - hZ2zZQ,"BNIVES, Computer Laboratory"
,Ubiquiti Unifi AP AC Lite 802.11ac Dual-Radio Access Point,UAP-AC-LITE,,1846K B4FBE4D6D4B2 - ClcjSj,"BNIVES, Principal's Room"
,Ubiquiti Unifi AP AC Lite 802.11ac Dual-Radio Access Point,UAP-AC-LITE,,1848K 18E82963243F - BXTSml,"Nazarene School, Taytay"
,LiteBeam M5,LBE-M5-23,,68D79AA026A8,"Radio Room, Rack 1, Level 2  ~ currently used in Isabela Condominium  - VOXP Romel"
,Ubiquiti Unifi HD,UAP-AC-HD,,1907K 18E829BBDA15 - QhnXik,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi HD,UAP-AC-HD,,1908K 18E829BDA547 - DcGwUt,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi HD,UAP-AC-HD,,1908K 18E829BD8DA7 - 4WrC6E,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi HD,UAP-AC-HD,,1908K 18E829BD8C13 - litepD,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi HD,UAP-AC-HD,,1908K 18E829BD8597 - xHq4CP,"Radio Room, Rack 1, Level 2"
,Ubiquiti Unifi HD,UAP-AC-HD,,1908K 18E829BDABF3 - u2NGkq,"Radio Room, Rack 1, Level 2"
,,,,,
,Ubiquiti airFiber 5X,AF-5X,,1745P 802AA8CEE1CD,"Radio Room, Rack 1, Level 3"
,Ubiquiti airFiber 5X,AF-5X,,1735P 802AA8CEC843,"Radio Room, Rack 1, Level 3"
,Ubiquiti airFiber 5X HD,AF-5XHD-US,,1835P788A205FB74F,"Radio Room, Rack 1, Level 3"
,loT Gateway/LoRa 48V/0.3A,RAK7249,918100619030771,60C5A874D433,"Radio Room, Rack 1, Level 3 (LoRa Box)"
,POE Power Supply,POE-30W-48V,,,"Radio Room, Rack 1, Level 3 (LoRa Box)"
,Antenna,,,,"Radio Room, Rack 1, Level 3 (LoRa Box)"
,Open Mesh WiFi Mini Router,OM5P-AC,OM5PAC63602518,AC867478FEF0,"Radio Room, Rack 1, Level 3 (inside box 12)"
,Open Mesh WiFi Mini Router,OM2Pv2,163233439,AC86745EIE30,"Radio Room, Rack 1, Level 3 (inside box 12)"
,Open Mesh WiFi Mini Router with label SSID MYKAPITS,OM2P-HSv4,16B230465,AC867482B690,"Radio Room, Rack 1, Level 3 (inside box 12)"
,Open Mesh WiFi Mini Router with label used SSID mykapits free wifi,OM2P-HSv4,173213777,AC8674926898,"Radio Room, Rack 1, Level 3 (inside box 12)"
,Open Mesh WiFi Mini Router with label used SSID cloudtrax,OM2P-HSv4,16B231089,AC867482CA10,"Radio Room, Rack 1, Level 3 (inside box 12)"
,Open Mesh WiFi Mini Router with label used SSID cloudtrax,OM2P-HSv4,16B253191,AC86748538A0,"Radio Room, Rack 1, Level 3 (inside box 12)"
,Ubiquiti Aircube ISP airMAX Home WiFi,ACB-ISP,,FCECDA56C2DD,"Radio Room, Rack 1, Level 3 (inside Box 4)"
,Ubiquiti Aircube ISP airMAX Home WiFi,ACB-ISP,,FCECDA5C4DFF,"Radio Room, Rack 1, Level 3 (inside Box 4)"
,Ubiquiti Aircube ISP airMAX Home WiFi,ACB-ISP,,FCECDA5C4E16,"Radio Room, Rack 1, Level 3 (inside Box 4)"
,Ubiquiti Aircube ISP airMAX Home WiFi,ACB-ISP,,B4FBE4A289D7,"Radio Room, Rack 1, Level 3 (inside Box 4)"
,Ubiquiti Aircube ISP airMAX Home WiFi,ACB-ISP,,B4FBE4A28ADA,"Radio Room, Rack 1, Level 3 (inside Box 4)"
,Ubiquiti PoE Adapter 24V (1.25A),GP-H240-125G,,,"Radio Room, Rack 1, Level 3 (inside Box 5)"
